13840	596	It 's easy to be cynical about documentaries in which underdogs beat the odds and the human spirit triumphs	2
3166	119	show us	2
4226	160	its universal points	2
6573	261	can chew by linking the massacre	2
22848	1034	resembles the el cheapo margaritas served within .	1
26008	1190	despite several attempts at lengthy dialogue scenes ,	2
17715	767	limp	2
960	35	his first film , The Full Monty	2
27898	1281	amusedly	3
8845	368	A terrific date movie	4
26905	1234	between the two brothers	2
2726	104	for more	2
16700	721	the Baader-Meinhof Gang	2
26411	1211	philosophical	3
543	20	'd expect -- but nothing more	2
24400	1109	be put to sleep or bewildered by the artsy and often pointless visuals	0
5043	197	'd probably turn it off ,	1
10580	447	costs	2
14753	635	forming a chain of relationships that come full circle to end on a positive -LRB- if tragic -RRB- note	3
4546	172	about otherwise dull subjects	1
27089	1245	an oddly winning portrayal	3
9153	382	of good actors	3
6424	254	overall the film	2
5561	220	milquetoast movie	2
1664	62	a particularly dark moment in history	2
11356	488	we 're left thinking the only reason to make the movie is because present standards allow for plenty of nudity	0
25019	1141	much too conventional -- lots of boring talking heads , etc. -- to do the subject matter justice	1
16209	700	The Silence	2
23304	1056	that tug at your heart in ways that utterly transcend gender	3
3992	150	of oddballs	2
11948	512	confrontational	1
23614	1072	defiantly and delightfully against the grain	3
23127	1048	to protect your community from the dullest science fiction	1
6681	266	bullet ballet	2
6401	254	the computer animation	2
2654	102	A surprisingly ` solid ' achievement by director Malcolm D. Lee and writer John Ridley .	3
5728	227	more confused , less interesting and more sloppily	1
21152	946	want to slap it	1
17712	767	muddled limp biscuit	2
26090	1194	drags out too many scenes toward the end that should move quickly	2
16516	710	require the patience of Job	2
24959	1137	good guys and bad	2
3470	128	diner	2
14167	610	their inner and outer lives	2
18129	791	a trove of delights	3
5929	236	contemporaries	2
19275	845	a nice little story	3
29187	1351	, smart , savvy , compelling	4
9529	397	Loses its sense of humor in a vat of failed jokes , twitchy acting , and general boorishness	1
8580	354	deeper	2
3248	121	last	2
2599	100	Tsai	2
16604	716	a visually seductive	3
1221	45	have that option .	2
2527	97	one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original	1
15406	659	it 's badder than bad .	0
162	5	self-glorification	2
7145	290	slight but	1
27920	1282	We hate -LRB- Madonna -RRB- within the film 's first five minutes , and she lacks the skill or presence to regain any ground	0
1107	41	Tartakovsky	2
4818	184	be funny , uplifting and moving , sometimes	3
3427	128	Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner .	3
10669	452	Pinocchio	2
3475	129	brilliant	4
4707	179	a nostalgic , twisty yarn	2
26787	1229	after two years	2
5085	198	smug self-satisfaction	0
15426	661	for insights	3
21970	984	never cuts corners	2
18689	819	Belgium 's national treasure	3
3039	114	a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle	3
24982	1139	Moonlight Mile does n't quite go the distance but	1
231	8	it plays like a reading from Bartlett 's Familiar Quotations	2
3989	150	of its scrapbook of oddballs	2
21206	949	the unfolding	2
21992	986	the field no favors	1
12925	555	Treasure Planet rivals the top Japanese animations of recent vintage .	4
13279	570	real life	2
11567	497	insistently	2
22349	1007	worth cheering as a breakthrough	3
2554	97	the original	3
19853	877	The War of the Roses	2
16349	704	witness the conflict	2
22924	1037	Cagney 's ` top of the world '	3
21888	979	if it had been only half-an-hour long or a TV special	2
24686	1125	buoyant romantic comedy	4
13110	563	is seriously	2
