1558	58	it is spooky and subtly in love with myth	3
892	33	the first computer-generated feature cartoon	2
1304	48	point	2
252	9	does n't	1
440	16	hard to be mythic	1
924	34	very little sense	1
1140	42	is right at home in this French shocker playing his usual bad boy weirdo role	3
1701	63	other than their funny accents	2
329	12	be in a martial-arts flick	2
1493	54	a bygone era , and its convolutions	2
534	19	Wild	3
685	24	the film	2
1941	72	Scherfig	2
388	14	can	2
778	28	Wilde 's wit and	3
104	3	have a hard time sitting through this one	0
1991	75	vignettes	2
1796	66	PG-13 rating	2
1496	54	a bygone era	2
888	33	Ice	2
468	17	the woman	2
288	11	one considers cliched dialogue and perverse escapism a source of high hilarity	2
376	14	about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense	2
1562	58	spooky and	2
1908	70	struggle furiously with their fears and foibles	2
386	14	chance	2
1584	59	swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements	3
1225	46	Less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB- .	3
203	7	Trouble Every Day	2
1483	54	Comes	2
1347	50	for prevention rather than to place blame	2
1378	51	to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker	2
1264	47	satisfying	4
412	15	like Moonlight Mile , better judgment be damned	2
762	28	does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .	2
958	35	of his first film , The Full Monty ,	1
240	8	from Bartlett 's Familiar Quotations	2
173	6	nearly epic	4
1109	41	has some freakish powers of visual charm	3
1886	70	very funny romantic comedy	3
41	1	some	2
616	22	movie 's	2
868	32	aims for poetry and ends up sounding like satire	1
910	33	for some glacial pacing	2
863	32	self-indulgent script	2
1754	65	fun	4
1058	39	judge this one	2
1766	66	endless assault	0
967	35	Monty	2
871	32	aims	2
1136	42	Vincent Gallo	2
309	12	Kung	2
1997	75	are still looking for a common through-line	1
353	13	The performances are an absolute joy .	4
1856	69	stoner midnight flick , sci-fi deconstruction ,	2
1693	63	generic	1
1534	57	for your lives	2
702	25	finish	2
977	36	the unnamed , easily substitutable forces	1
1610	60	Transforms one of -LRB- Shakespeare 's -RRB- deepest tragedies into a smart new comedy	3
1927	71	ambition	3
644	23	a frothing ex-girlfriend	2
70	2	, introspective and entertaining	3
1278	47	shell games	2
919	34	There 's very little sense to what 's going on here , but	1
845	31	run-of-the-mill action	1
1743	65	cinematic distractions	2
897	33	feature cartoon	2
843	31	than a run-of-the-mill action	2
431	16	baseball movies that try too hard to be mythic	0
936	34	serve up	2
1142	42	right at home in this French shocker	3
805	29	Arthur Schnitzler 's Reigen	3
1604	59	otherwise tender movements	2
1312	49	tackled	2
920	34	There 's very little sense to what 's going on here ,	0
1739	65	the gratuitous cinematic distractions impressed upon it	2
193	6	character	2
932	34	the makers serve up the cliches with considerable dash	2
1336	50	Sunday	2
1931	71	about its subjects	2
32	1	good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2
1298	48	, I do n't see the point	1
1768	66	assault	1
1287	48	the filmmaker would disagree , but , honestly , I do n't see the point	1
1667	62	particularly dark	2
570	22	Hatfield and	2
1449	53	Thanks largely to Williams , all the interesting developments are processed in 60 minutes	3
1879	69	as sanguine	2
488	18	Wong	2
399	14	us	3
1816	67	gets under the skin of a man we only know as an evil , monstrous lunatic	1
1605	59	otherwise	2
917	34	There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .	2
829	30	those	2
487	18	Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .	2
296	11	dialogue	2
1854	69	stoner midnight flick , sci-fi deconstruction , gay fantasia --	2
1462	53	developments	2
286	11	unless one considers cliched dialogue and perverse escapism a source of high hilarity	1
1620	60	deepest tragedies	1
1415	52	Miramax 's deep shelves	2
1957	72	the characters '	2
99	3	I	2
1152	42	shocker	2
1820	67	the skin of a man we only know as an evil , monstrous lunatic	2
612	22	from all the movie 's political ramifications	2
1155	42	his usual bad boy weirdo role	2
904	33	other movies	2
1549	58	is as kooky and overeager as it is spooky and subtly in love with myth .	2
1473	53	is just	2
646	23	frothing	1
1290	48	the filmmaker would disagree ,	2
1484	54	across	2
365	14	Fresnadillo	2
1713	63	are poorly	1
263	10	could	2
